"","player","ROI","salary","gp","PVWS","position","Z_val"
"158","John Konchar",0.360800155202535,2300000,72,3.36747221697714,"SF",5.42970414183815
"164","Luguentz Dort",-0.0182425473149231,15277778,74,2.74628442052814,"SF",-0.816822875030474
"174","Jaden McDaniels",0.0648225015599011,2161440,78,3.5120041071776,"SF",0.552067934653968
"183","Gordon Hayward",-0.0291824036073113,30075000,50,2.65203524034018,"SF",-0.997108915197455
"186","Kelly Oubre Jr.",-0.0271020430459524,12600000,48,2.34578947394598,"SF",-0.962825103993471
"188","Jalen McDaniels",0.0530989714972958,1930681,78,3.39888861037313,"SF",0.358867150724451
"196","Keldon Johnson",0.0202507138989867,3873024,61,3.18314348171196,"SF",-0.182463752580428
"200","Doug McDermott",-0.0332213640955542,13750000,63,1.62242516290441,"SF",-1.06366995341903
"204","Michael Porter Jr.",-0.00316921964329064,30913750,62,4.27982920710605,"SF",-0.568418281274632
"209","Bruce Brown",0.0721577174206502,6479000,80,4.04002746468647,"SF",0.672950420306418
"227","Simone Fontecchio",-0.0014838325684714,3205128,52,0.607438540918791,"SF",-0.540643532343133
"230","Reggie Bullock Jr.",0.0207165230077049,10012800,78,3.13699836220187,"SF",-0.174787337329622
"235","Tim Hardaway Jr.",0.00660423267170063,19602273,71,3.02079798153451,"SF",-0.40735428102295
"238","Mikal Bridges",0.0334916209291225,20100000,82,5.5115083937284,"SF",0.0357430165837392
"249","Josh Hart",0.0211109873740583,12960000,76,6.40338797267321,"SF",-0.168286665227895
"256","Nassir Little",-0.00442470916489046,4171548,54,1.5024030037265,"SF",-0.589108428226367
"273","Jordan Nwora",0.0645592512763498,2800000,62,2.29996016642774,"SF",0.54772963715482
"274","Wesley Matthews",0.0362494429785876,2905851,52,1.07518764217884,"SF",0.0811912202433422
"276","Paul George",-0.00725881985738019,42492492,56,4.28852547076665,"SF",-0.635813849256384
"285","Kawhi Leonard",0.00267972800107419,42492492,52,5.24057403529634,"SF",-0.472029116575987
"288","Joe Harris",-0.000847288409206559,18642857,74,2.32289083749103,"SF",-0.530153447025913
"296","Lamar Stevens",0.0302089921066049,1782621,62,1.89672818258287,"SF",-0.0183538687804195
"301","MarJon Beauchamp",0.0239980283857089,2485200,52,0.861474690741058,"SF",-0.120708966044377
"305","Amir Coffey",-0.00143627187734707,3395062,50,0.506841086285474,"SF",-0.539859744289502
"306","Keegan Murray",0.00789947204228225,8008440,80,4.46342104772359,"SF",-0.386009066702995
"308","Troy Brown Jr.",0.105101890883576,1968175,76,3.28237241771392,"SF",1.21586199258525
"309","AJ Griffin",0.0231093602556194,3536160,72,2.17390554479633,"SF",-0.135353990066119
"314","Dillon Brooks",-0.000664123542938211,11400000,73,1.62943709594181,"SF",-0.527134936768131
"315","Jabari Walker",0.0311302015904036,1017781,55,1.01841935244871,"SF",-0.00317257155315222
"321","Anthony Lamb",0.139021926286849,694878,61,2.18716048161513,"SF",1.77485552062957
"324","Corey Kispert",0.0137951732696304,3552840,74,3.31080919791096,"SF",-0.288849414886933
"331","Ish Wainright",0.0775604471193692,980057,60,1.38483410442779,"SF",0.761986027122598
"335","Pat Connaughton",0.0326644354940433,5728393,61,2.82829933592847,"SF",0.0221112116871801
"339","T.J. Warren",0.0253463683422779,2628597,42,1.31817953912526,"SF",-0.0984886676170678
"341","Joe Ingles",0.018318827401669,6479000,46,1.83792771562934,"SF",-0.214300749095254
"2","P.J. Tucker",0.023711157838489,10490000,75,2.44778748181899,"PF",-0.0951109499585328
"9","Georges Niang",0.0608782572207907,3465000,78,2.30230815564299,"PF",0.429441244958463
"16","Grant Williams",0.198976171213828,4306281,79,3.62480379199021,"PF",2.37846511559715
"20","LeBron James",0.012027301676951,44474988,55,5.828976919718,"PF",-0.260009273919419
"28","Draymond Green",0.0274194881362917,25806468,72,5.40379373539374,"PF",-0.0427739952454115
"34","JaMychal Green",0.0231782639336946,8200000,57,2.18354924443248,"PF",-0.102631866900222
"35","Jonathan Kuminga",0.036320470836779,5739840,67,2.49298516535353,"PF",0.0828486680792958
"38","Paolo Banchero",-0.00541807985830967,11055120,72,4.14570994579774,"PF",-0.506222008503785
"44","Bol Bol",0.0793719906109187,2200000,70,3.9523691348801,"PF",0.690449733735523
"48","Bojan Bogdanovic",-0.0290218620708612,19550000,58,3.28023496982658,"PF",-0.839350392846644
"57","Kyle Kuzma",-0.0140638126426409,1.3e+07,64,4.01751787627899,"PF",-0.628242241022827
"61","Rui Hachimura",0.0276535949014942,6263188,63,2.81599183508522,"PF",-0.0394699650796793
"63","Anthony Gill",0.0158150753718276,1836090,59,1.10670930623878,"PF",-0.206551106924485
"73","Oshae Brissett",0.0215134008051168,1846738,65,1.9689941276831,"PF",-0.126128659032128
"76","Jabari Smith Jr.",0.000663562703956178,8882640,79,4.31836280420338,"PF",-0.420389672707996
"80","Tari Eason",0.0261374096054674,3359160,82,4.28578843350394,"PF",-0.0608684152721754
"85","John Collins",-0.00592413232107492,23500000,71,4.54501488046811,"PF",-0.51336410284255
"95","Herbert Jones",0.0591700402995579,1785000,66,3.07777681259254,"PF",0.405332585678646
"103","Kevin Durant",-0.00617692995381047,44119845,47,5.26126198780834,"PF",-0.516931923719753
"113","Patrick Williams",0.0134024099194345,7775400,81,3.54394685389333,"PF",-0.240601893229747
"120","Jimmy Butler",0.00240342071938482,37653300,64,6.96111135834653,"PF",-0.395834451665603
"128","Haywood Highsmith",0.0490043084201024,1752638,54,1.61530795920306,"PF",0.261860077494559
"130","Evan Mobley",0.036877089650984,8478720,79,7.29018252514007,"PF",0.0907044229155842
"135","Kevin Love",-0.0177731814708261,30556968,62,3.46933291957786,"PF",-0.680593852876286
"136","Dean Wade",0.0456436410290419,1930681,44,1.48732643101221,"PF",0.2144298102511
"141","Pascal Siakam",-0.0129382983698513,35448672,71,6.19423369439363,"PF",-0.612357466800081
"146","Thaddeus Young",-0.0248546654303182,8e+06,54,1.84918250983309,"PF",-0.780537297911169
"147","Juancho Hernangomez",0.00776373536214381,2298385,42,1.11656354720283,"PF",-0.320182467571201
"149","Julius Randle",0.0216173105110891,23760000,77,7.48394441871351,"PF",-0.124662145226994
"154","Obi Toppin",0.0139002416363485,5348280,67,2.13007637989315,"PF",-0.233575821135166
"156","Santi Aldama",0.519840013038658,2094120,77,3.97985847910159,"PF",6.90692806524719
"160","Brandon Clarke",0.0893133104385664,4343919,56,3.59496645855347,"PF",0.830755036614435
"162","David Roddy",0.0427723389804182,2588640,70,1.59749434922607,"PF",0.173906126215847
"165","Kenrich Williams",0.0544721151358498,2e+06,53,2.92591717736284,"PF",0.339029134585222
"166","Josh Giddey",0.0189082011119424,6287400,76,5.88725103335178,"PF",-0.162896748013063
"169","Jeremiah Robinson-Earl",0.0393307210551268,2e+06,43,1.77775873004446,"PF",0.125333375939915
"178","Kyle Anderson",0.0217359418349994,8780488,68,4.70259116615946,"PF",-0.122987860109854
"181","Taurean Prince",-0.00747290861670691,7295000,53,1.38153867923699,"PF",-0.535222521142904
"184","P.J. Washington",0.0125213471194601,5808435,73,3.70204949290443,"PF",-0.253036638831831
"191","JT Thor",0.00908478186149342,1563518,69,1.29517563200636,"PF",-0.301538079057223
"197","Jeremy Sochan",-0.00687075013864025,5063520,55,2.30069706107539,"PF",-0.526724049198436
"203","Keita Bates-Diop",0.0312301955817327,1878720,64,3.03766415553595,"PF",0.0110078437442747
"205","Aaron Gordon",0.0199734498452788,19690909,68,5.55341065207214,"PF",-0.147862522300248
"212","Jeff Green",0.0348498094734382,4500000,56,1.5102571020755,"PF",0.0620927129754283
"215","Vlatko Cancar",0.0414180420982799,2234359,60,1.58645009635022,"PF",0.154792463489905
"216","Zeke Nnaji",0.0392866249801578,2617800,53,1.35331244036785,"PF",0.124711032703649
"217","Lauri Markkanen",-0.00300703392376422,16475454,66,7.06977345265675,"PF",-0.47219407901694
