"","player","GP","PVWL","WLpg","position","Z_val"
"316","Jordan Nwora",62,2.23289747586867,0.0360144754172367,"SF",0.246389287981872
"317","Wesley Matthews",52,1.81247182531466,0.0348552274098972,"SF",-0.0663453622287966
"320","Paul George",56,2.79985476282684,0.0499974064790506,"SF",0.668121854935394
"330","Kawhi Leonard",52,4.57280555171006,0.0879385683021165,"SF",1.98693564298918
"337","Joe Harris",74,2.3794198381401,0.0321543221370283,"SF",0.355380306138379
"338","Braxton Key",3,0.156680997727467,0.0522269992424888,"SF",-1.29800942602973
"340","Buddy Boeheim",10,0.205301212313963,0.0205301212313963,"SF",-1.26184316028967
"344","Svi Mykhailiuk",32,1.11948043910992,0.0349837637221851,"SF",-0.581828702691387
"353","Lamar Stevens",62,2.6439776885729,0.0426448014285952,"SF",0.55217231135158
"363","MarJon Beauchamp",52,1.50240639513128,0.0288924306756015,"SF",-0.296988292133378
"374","Tyler Dorsey",3,0.154266666926432,0.0514222223088105,"SF",-1.29980533191121
"377","Amir Coffey",50,1.43271456730411,0.0286542913460822,"SF",-0.348828729008131
"378","Keegan Murray",80,3.39157737724063,0.0423947172155079,"SF",1.10827617139203
"380","Troy Brown Jr.",76,2.58748705356467,0.0340458822837456,"SF",0.510151614098218
"381","AJ Griffin",72,1.9718451965742,0.0273867388413084,"SF",0.0522049104485984
"392","Brandon Boston Jr.",22,0.732633847176316,0.0333015385080144,"SF",-0.869585487878313
"399","Justin Jackson",23,0.899857669063536,0.0391242464810233,"SF",-0.745195638267861
"400","Malcolm Hill",4,0.184361856686508,0.0460904641716269,"SF",-1.27741895127473
"401","Dillon Brooks",73,-0.152858908120972,-0.00209395764549277,"SF",-1.52826144337023
"403","Jabari Walker",55,2.12204830026303,0.0385826963684188,"SF",0.163933857126287
"412","Jae'Sean Tate",31,1.26722445709334,0.0408782082933334,"SF",-0.471928952940452
"413","Jack White",17,0.756832069615992,0.044519533506823,"SF",-0.85158558083073
"419","Chima Moneke",2,0.0518491885305849,0.0259245942652924,"SF",-1.37598882413956
"424","Justin Champagnie",5,0.1912775172483,0.0382555034496601,"SF",-1.27227472022242
"425","Jordan Schakel",2,0.0979330346730565,0.0489665173365283,"SF",-1.34170924228071
"434","Anthony Lamb",61,2.89792491810775,0.0475069658706189,"SF",0.741071580213734
"435","Patrick Baldwin Jr.",31,1.18218603661443,0.0381350334391751,"SF",-0.535184990358468
"441","Otto Porter Jr.",8,0.491318920878735,0.0614148651098419,"SF",-1.04908818702818
"442","Jordan Hall",9,0.218546211688607,0.0242829124098452,"SF",-1.25199083505449
"445","Corey Kispert",74,2.54974558891453,0.034456021471818,"SF",0.482077533151334
"448","Jarrett Culver",10,0.425205661290059,0.0425205661290059,"SF",-1.09826669715121
"459","Ish Wainright",60,2.3524417465177,0.0392073624419616,"SF",0.335312586588527
"465","Pat Connaughton",61,3.113436667962,0.0510399453764262,"SF",0.901380523348254
"466","Julian Champagnie",15,0.593582603251991,0.0395721735501327,"SF",-0.973019096348034
"473","Josh Minott",14,0.714530881447396,0.0510379201033854,"SF",-0.883051423288175
"478","T.J. Warren",42,1.65735671808216,0.0394608742400515,"SF",-0.181728114776888
"479","Khris Middleton",33,1.16475802721923,0.0352956977945221,"SF",-0.548148857845842
"482","Ziaire Williams",37,0.832431917040353,0.0224981599200095,"SF",-0.795350449103914
"487","Stanley Johnson",29,1.41611270329289,0.048831472527341,"SF",-0.361178066227571
"489","Joe Ingles",46,1.66081861754804,0.0361047525553922,"SF",-0.179152972377512
"491","Sterling Brown",4,0.172985371733657,0.0432463429334143,"SF",-1.28588137747938
"493","PJ Dozier",16,0.631393698231221,0.0394621061394513,"SF",-0.944893220710262
"496","Joe Wieskamp",9,0.286114493742391,0.0317904993047101,"SF",-1.20173000290597
"501","Darius Days",4,0.189051680023147,0.0472629200057868,"SF",-1.27393041469567
"518","Dylan Windler",3,0.119914096802132,0.0399713656007107,"SF",-1.32535857536223
"524","Xavier Sneed",4,0.148063155467517,0.0370157888668793,"SF",-1.30441982910857
"533","Justin Minaya",3,0.00882163697589375,0.00294054565863125,"SF",-1.40799497378135
"2","P.J. Tucker",75,2.72075119872609,0.0362766826496812,"PF",0.112394643075829
"9","Georges Niang",78,2.79804551891189,0.0358723784475883,"PF",0.157107328536131
"17","Grant Williams",79,3.55582865855215,0.0450104893487614,"PF",0.595464494863624
"22","LeBron James",55,4.4185097562554,0.0803365410228255,"PF",1.09450230878624
"35","Draymond Green",72,5.18453703121454,0.0720074587668686,"PF",1.53762848567646
"41","JaMychal Green",57,2.99743327430481,0.0525865486720142,"PF",0.272447782661217
"42","Jonathan Kuminga",67,2.68713805925201,0.0401065381977912,"PF",0.0929503458878197
"46","Paolo Banchero",72,3.09383495797984,0.0429699299719422,"PF",0.328213564023212
"52","Bol Bol",70,3.77931988198759,0.0539902840283941,"PF",0.724748157008353
"57","Bojan Bogdanovic",58,2.14982350556413,0.0370659225097263,"PF",-0.217871672787547
"67","Kyle Kuzma",64,2.36786534347103,0.0369978959917348,"PF",-0.0917403336143334
"71","Rui Hachimura",63,3.09515060908895,0.0491293747474437,"PF",0.328974632806481
"73","Anthony Gill",59,2.43337957332177,0.0412437215817249,"PF",-0.0538421135970162
"77","Terry Taylor",31,1.26693579564393,0.0408688966336751,"PF",-0.728598468437441
"84","Oshae Brissett",65,3.11699951577388,0.0479538387042135,"PF",0.34161363771533
"88","Jabari Smith Jr.",79,2.91963287910254,0.0369573782164878,"PF",0.227442346414353
"93","Tari Eason",82,4.52079941842676,0.0551317002247165,"PF",1.15367412735601
"98","John Collins",71,4.09911087055516,0.0577339559233122,"PF",0.909738643379029
"107","Zion Williamson",29,2.69321043043547,0.0928693251874302,"PF",0.0964630493060239
"109","Herbert Jones",66,2.83419887546187,0.0429424072039677,"PF",0.1780210729855
"117","Kevin Durant",47,4.54341285217142,0.0966683585568386,"PF",1.1667553906076
"125","Markieff Morris",35,1.38494593739851,0.0395698839256717,"PF",-0.660332775218135
"130","Patrick Williams",81,3.05168734924122,0.0376751524597682,"PF",0.303832305893202
"138","Jimmy Butler",64,6.70023371528389,0.104691151801311,"PF",2.41441825399465
"147","Haywood Highsmith",54,2.25218687075511,0.0417071642732428,"PF",-0.158657219003093
"149","Evan Mobley",79,6.38524155604599,0.0808258424815948,"PF",2.23220376133062
"154","Kevin Love",62,4.38638946688447,0.0707482172078141,"PF",1.07592158523392
"155","Dean Wade",44,1.98269392448187,0.045061225556406,"PF",-0.314551640630985
"160","Pascal Siakam",71,4.46594329697092,0.0629006098164918,"PF",1.12194133640409
