"","player","GP","PVWS","WSpg","position","Z_val"
"504","Quenton Jackson",9,0.14824839804705,0.01647204422745,"PG",-1.05146780112793
"506","Carlik Jones",6,0.0800147727852726,0.0133357954642121,"PG",-1.08749696770338
"507","Kris Dunn",22,1.50173934513446,0.0682608793242936,"PG",-0.336788629328248
"512","Frank Jackson",1,-0.000105270663950212,-0.000105270663950212,"PG",-1.12980247881158
"513","Jared Butler",6,0.108241011654414,0.0180401686090689,"PG",-1.07259276382863
"516","Lindell Wigginton",7,0.0920064616366685,0.0131437802338098,"PG",-1.08116503746385
"527","Skylar Mays",5,0.386576351171324,0.0773152702342648,"PG",-0.925624311356463
"531","Michael Carter-Williams",4,0.0399021157286861,0.00997552893217153,"PG",-1.10867751611087
"538","Jacob Gilyard",1,0.0603795269127802,0.0603795269127802,"PG",-1.09786489907997
"4","Tyrese Maxey",60,3.36067082526765,0.0560111804211275,"SG",1.1721340366937
"7","De'Anthony Melton",77,3.89114744265572,0.0505343823721522,"SG",1.53687815703602
"10","Matisse Thybulle",71,1.98045946321474,0.0278937952565457,"SG",0.223130890019316
"14","Derrick White",82,4.55595386268001,0.0555604129595123,"SG",1.99398451181489
"21","Lonnie Walker IV",56,1.60703277819827,0.0286970138963976,"SG",-0.0336291315803579
"26","Austin Reaves",64,3.48121933776531,0.0543940521525829,"SG",1.25502055743429
"27","Kendrick Nunn",70,1.1781330860274,0.0168304726575343,"SG",-0.328531179678571
"33","Max Christie",41,0.826341789498473,0.0201546777926457,"SG",-0.570415181330354
"43","Donte DiVincenzo",71,4.02484562130823,0.056687966497299,"SG",1.62880610063529
"44","Moses Moody",62,1.30800948616936,0.02109692719628,"SG",-0.239231007399061
"49","Terrence Ross",63,1.77968563660391,0.0282489783587922,"SG",0.0850831978599507
"50","Jalen Suggs",53,1.70412426631289,0.0321532880436394,"SG",0.0331288522106353
"55","R.J. Hampton",47,1.03135847727565,0.0219437973888437,"SG",-0.429450190626381
"60","Jaden Ivey",73,2.17783259397083,0.0298333232050798,"SG",0.358840338083779
"69","Bradley Beal",50,3.11978434160023,0.0623956868320046,"SG",1.00650575882495
"74","Will Barton",56,1.37315822756824,0.0245206826351472,"SG",-0.194436157646879
"82","Bennedict Mathurin",78,2.89909149173339,0.0371678396376076,"SG",0.854762181913185
"87","Eric Gordon",69,2.32341719081078,0.0336727129103012,"SG",0.458941122867162
"90","Jalen Green",76,2.8751081140306,0.0378303699214553,"SG",0.838271735932523
"95","Garrison Mathews",54,0.954007505697478,0.0176668056610644,"SG",-0.48263502698132
"96","Josh Christopher",64,0.827952884066066,0.0129367638135323,"SG",-0.569307427941074
"100","Dejounte Murray",74,5.31083983778151,0.0717681059159664,"SG",2.51302759858252
"124","Edmond Sumner",53,1.11540556989938,0.021045388111309,"SG",-0.37166124788785
"126","Cam Thomas",57,1.25611568158928,0.0220371172208646,"SG",-0.274912052486353
"133","Ayo Dosunmu",79,2.56833599431665,0.0325105822065399,"SG",0.627341935668096
"135","Coby White",73,2.83106840779952,0.0387817590109523,"SG",0.807990997097167
"141","Tyler Herro",67,4.27527053394785,0.0638100079693709,"SG",1.80099279365539
"148","Donovan Mitchell",68,5.29937450224987,0.0779319779742628,"SG",2.50514428462325
"151","Caris LeVert",74,3.30274455823406,0.0446316832193792,"SG",1.13230520235618
"161","Gary Trent Jr.",66,3.01325969517736,0.0456554499269297,"SG",0.933261741688822
"168","RJ Barrett",73,2.80687448876882,0.0384503354625866,"SG",0.791355787504078
"171","Evan Fournier",27,0.331840238664586,0.0122903792097995,"SG",-0.910423632701683
"173","Immanuel Quickley",81,4.58831769205155,0.0566458974327351,"SG",2.01623717307856
"178","Desmond Bane",58,4.17540997396219,0.0719898271372791,"SG",1.73233085660677
"195","Jalen Williams",75,4.56475539700456,0.0608634052933941,"SG",2.00003625432275
"200","Isaiah Joe",73,2.80687448876882,0.0384503354625866,"SG",0.791355787504078
"204","Anthony Edwards",78,5.26606323690278,0.0675136312423433,"SG",2.48224018710367
"208","Jaylen Nowell",65,1.82383061349894,0.0280589325153684,"SG",0.11543631850152
"210","Bryn Forbes",25,0.154628707100744,0.00618514828402975,"SG",-1.03227040610524
"211","Austin Rivers",52,1.12357548024022,0.0216072207738505,"SG",-0.366043796217274
"216","Terry Rozier",63,2.97325230878472,0.047194481091821,"SG",0.905753537785647
"222","James Bouknight",34,0.419814380462806,0.0123474817783178,"SG",-0.849934536837184
"223","Bryce McGowens",46,0.785492237794235,0.0170759182129181,"SG",-0.598502439683234
"230","Devin Vassell",38,2.08474139108632,0.0548616155549031,"SG",0.294832862928884
"232","Joshua Primo",4,0.068128354597827,0.0170320886494567,"SG",-1.09174615668275
"235","Josh Richardson",64,2.2715233862307,0.0354925529098547,"SG",0.423260077779869
"237","Romeo Langford",40,1.08048320998469,0.0270120802496173,"SG",-0.395673098796712
"243","Kentavious Caldwell-Pope",76,3.50818232866705,0.0461602937982506,"SG",1.273559720285
"246","Davon Reed",43,0.499513341256228,0.0116165893315402,"SG",-0.795135274449474
"251","Christian Braun",76,2.02025630827948,0.0265823198457826,"SG",0.250494330310065
"252","Peyton Watson",23,0.420972357766258,0.0183031459898373,"SG",-0.84913833696884
"258","Jordan Clarkson",61,2.59442478529845,0.0425315538573516,"SG",0.645280017773021
"263","Malik Beasley",81,2.95119583764138,0.0364345165140911,"SG",0.890587990612904
"264","Talen Horton-Tucker",65,1.9448002086524,0.029920003210037,"SG",0.198612366466962
"266","Ochai Agbaji",59,1.31235761799966,0.0222433494576214,"SG",-0.23624132704824
"267","Nickeil Alexander-Walker",58,1.24391345140998,0.0214467836449997,"SG",-0.283302039089111
"277","Josh Green",60,2.21145967130977,0.0368576611884962,"SG",0.381961581022001
"281","Devin Booker",53,3.81302754182155,0.0719439158834255,"SG",1.48316462174151
"286","Damion Lee",74,2.47611899135208,0.0334610674507038,"SG",0.56393554125899
"287","Josh Okogie",72,2.50455577154912,0.0347854968270711,"SG",0.583488049396686
"293","Anfernee Simons",62,2.7354507089802,0.0441201727254871,"SG",0.742246358593157
"297","Shaedon Sharpe",80,2.49564896656062,0.0311956120820078,"SG",0.577363925082618
"302","Kevin Huerter",75,4.1212002147752,0.0549493361970026,"SG",1.69505741178279
"304","Malik Monk",77,3.07661883528909,0.0399560887699881,"SG",0.97682610073538
"305","Terence Davis",64,1.55780277482528,0.024340668356645,"SG",-0.0674786052162396
"309","Grayson Allen",72,3.40376309552318,0.047274487437822,"SG",1.20176333927314
"323","Norman Powell",60,2.61872397499309,0.0436453995832181,"SG",0.661987609172323
"328","Luke Kennard",58,2.61479692581859,0.0450827056175619,"SG",0.659287456046355
"329","Terance Mann",81,3.51572061502419,0.0434039582101752,"SG",1.2787428811183
"333","Andrew Nembhard",75,2.42762588262675,0.0323683451016899,"SG",0.5305927402666
"336","Kevon Harris",34,0.645624291415933,0.0189889497475274,"SG",-0.694672580635026
"339","Rodney McGruder",32,0.883741703212306,0.0276169282253846,"SG",-0.530948256023896
"345","Trevor Keels",3,0.0198457872003928,0.00661526240013095,"SG",-1.12494419406272
"354","Zach LaVine",76,5.24207985919999,0.0689747349894735,"SG",2.46574974112301
"356","Dalen Terry",37,0.475951046209237,0.0128635417894388,"SG",-0.811336193205284
