"","player","ROI","salary","gp","PVGS","position","Z_val"
"255","Shaedon Sharpe",0.00116631623502217,6012960,80,2.77382000008199,"SG",-0.477630083108056
"259","Kevin Huerter",-0.00129993337436451,14508929,75,4.81461926773705,"SG",-0.521097403191098
"261","Malik Monk",0.00977976164955385,9472219,77,4.23649084635653,"SG",-0.325819257704876
"262","Terence Davis",0.0356594851781136,4e+06,64,1.42548463055804,"SG",0.130307414143357
"266","Grayson Allen",0.0374623253138768,8925000,72,3.35594052565826,"SG",0.162082230829192
"279","Norman Powell",0.0154486762636321,16758621,60,3.83922843194964,"SG",-0.225905394519367
"283","Luke Kennard",-3.17933220694844e-06,13745455,58,2.28311933370562,"SG",-0.498242286334756
"284","Terance Mann",0.0938253031321263,1930681,81,3.24745939037237,"SG",1.15547218954815
"286","Andrew Nembhard",0.0275351362205882,2244111,75,3.00990371366814,"SG",-0.0128831515070153
"297","Zach LaVine",-0.00524044287419001,37096500,76,7.64679592314239,"SG",-0.590548357006669
"303","Jaden Hardy",0.0386053715601884,1017781,48,1.37419491331079,"SG",0.182228268306114
"304","Aaron Wiggins",0.0301510909681211,1563518,70,2.01427355690836,"SG",0.0332227016479071
"312","Shake Milton",0.0835616743488969,1997718,76,2.6803817481125,"SG",0.974577102596625
"318","Ty Jerome",0.0260714507699487,4728948,45,1.45171210782403,"SG",-0.0386804121499318
"320","Seth Curry",0.0198656545772009,8496653,61,2.01906296490965,"SG",-0.148056741477512
"322","Malaki Branham",0.00709311676047752,2925600,63,2.11942607697516,"SG",-0.373171015166276
"323","Quentin Grimes",0.0587433716423591,2277000,71,3.27189433036782,"SG",0.537157831020462
"326","Frank Ntilikina",-0.0172948294290166,2036318,47,0.29219076467437,"SG",-0.803005310588782
"327","Alec Burks",-0.0170481073879056,10012800,50,2.60377891672994,"SG",-0.798656867555402
"332","Gary Harris",-0.0249817544133872,1.3e+07,48,1.59476459909536,"SG",-0.938486337115155
"338","Bogdan Bogdanovic",-0.00531639092198244,1.8e+07,54,3.05804040468398,"SG",-0.591886931208774
"340","Victor Oladipo",0.0115401262819206,8750000,42,1.6544984988834,"SG",-0.294793066095267
"1","Tobias Harris",0.00129876376829619,37633050,74,4.9769158465158,"SF",-0.53973536553277
"8","Danuel House Jr.",-0.00276334401696643,4105000,56,0.88138113551143,"SF",-0.631911073510401
"11","Jaylen Brown",0.0254354803716763,29776785,67,6.96290443721304,"SF",0.00796525167972186
"12","Jayson Tatum",0.0423295523436056,30351780,74,9.7850952469611,"SF",0.391318704359452
"18","Sam Hauser",0.105738761151712,1637966,80,2.04737853494366,"SF",1.83017484091832
