"","player","GP","PVGS","GSpg","position","Z_val"
"65","Hamidou Diallo",55,1.96251828034386,0.0356821505517066,"SF",-0.0793626993904909
"66","Deni Avdija",76,3.10893426261243,0.0409070297712161,"SF",0.462935849109445
"76","Buddy Hield",80,5.68857647282763,0.0711072059103454,"SF",1.68320514741477
"79","Chris Duarte",46,1.13357825104531,0.0246430054575066,"SF",-0.471482995718313
"85","Aaron Nesmith",73,2.67398656216422,0.0366299529063591,"SF",0.257188973390128
"92","KJ Martin",82,4.74183295156255,0.0578272311166165,"SF",1.23535929972535
"97","De'Andre Hunter",67,3.55666116462134,0.0530844949943483,"SF",0.674727775285614
"102","Jalen Johnson",70,1.83086506818531,0.0261552152597902,"SF",-0.14163969741145
"105","Justin Holiday",46,0.51742162879926,0.0112482962782448,"SF",-0.762948612964371
"106","Brandon Ingram",45,4.54688019856194,0.101041782190265,"SF",1.14313920107573
"112","Trey Murphy III",79,5.13402157280651,0.064987614845652,"SF",1.42087949774101
"115","Naji Marshall",77,2.87231528971061,0.0373027959702677,"SF",0.351006036949745
"118","Royce O'Neale",76,3.03161499775859,0.0398896710231394,"SF",0.426360883521175
"127","Yuta Watanabe",58,1.3527568440461,0.0233233938628638,"SF",-0.367803149410357
"128","Kessler Edwards",36,0.314693767402447,0.00874149353895687,"SF",-0.858846634866017
"129","DeMar DeRozan",73,7.93469344295559,0.108694430725419,"SF",2.74570426771761
"134","Javonte Green",32,0.80384718549439,0.0251202245466997,"SF",-0.627458384241559
"139","Caleb Martin",71,3.07470023628324,0.0433056371307498,"SF",0.446741847041461
"143","Max Strus",80,3.38458225501265,0.0423072781876582,"SF",0.593327878257331
"146","Duncan Robinson",42,0.687708001137414,0.0163740000270813,"SF",-0.682396654533398
"153","Isaac Okoro",76,2.11397317999722,0.0278154365789108,"SF",-0.00771874683263354
"156","Cedi Osman",77,2.43177529228762,0.0315814973024366,"SF",0.142613791156114
"158","OG Anunoby",67,4.73682885839805,0.0706989381850455,"SF",1.23299217252053
"159","Scottie Barnes",77,5.74991056539472,0.0746741631869444,"SF",1.71221851593644
"175","Cam Reddish",40,1.40968621759484,0.035242155439871,"SF",-0.340873381228479
"181","John Konchar",72,2.02173367632003,0.0280796343933338,"SF",-0.0513515552827633
"188","Luguentz Dort",74,3.7188295137391,0.0502544528883662,"SF",0.751439598654624
"199","Eugene Omoruyi",40,0.886432588002624,0.0221608147000656,"SF",-0.588392334395609
"201","Jaden McDaniels",78,3.87939767007781,0.0497358675651002,"SF",0.827394469717643
"212","Gordon Hayward",50,3.18337371606061,0.0636674743212121,"SF",0.498148553904604
"215","Kelly Oubre Jr.",48,3.48399190777195,0.072583164745249,"SF",0.640352441096703
"217","Jalen McDaniels",78,3.08489518193579,0.039549938229946,"SF",0.451564445744657
"219","Cody Martin",7,0.145985247171615,0.0208550353102307,"SF",-0.938652208982062
"227","Keldon Johnson",61,4.89366136986299,0.0802239568829998,"SF",1.30717994087031
"233","Doug McDermott",63,2.0463024311444,0.0324809909705461,"SF",-0.0397295958144896
"240","Michael Porter Jr.",62,4.34297034437662,0.070047908780268,"SF",1.04668205143733
"245","Bruce Brown",80,4.22790167865097,0.0528487709831371,"SF",0.992250177347996
"265","Simone Fontecchio",52,0.814914720118856,0.0156714369253626,"SF",-0.622223017624946
"268","Leandro Bolmaro",14,-0.0982220748028553,-0.00701586248591824,"SF",-1.05417160010024
"269","Reggie Bullock Jr.",78,2.26408434619348,0.0290267223870959,"SF",0.0632895684743294
"274","Tim Hardaway Jr.",71,3.68666123950621,0.0519248061902283,"SF",0.736222776232341
"278","Mikal Bridges",82,7.29410188071409,0.088952461959928,"SF",2.44267999052859
"290","Josh Hart",76,4.54143847191986,0.0597557693673666,"SF",1.14056505652003
"298","Nassir Little",54,1.27670044231507,0.0236426007836123,"SF",-0.403780732504802
"316","Jordan Nwora",62,2.04736736460779,0.0330220542678676,"SF",-0.0392258416097518
"317","Wesley Matthews",52,0.612326258718892,0.0117755049753633,"SF",-0.718055098003514
"320","Paul George",56,5.59605816915675,0.0999296101635134,"SF",1.63944045591848
"330","Kawhi Leonard",52,5.93297055412564,0.114095587579339,"SF",1.7988128828265
"337","Joe Harris",74,2.08613433961631,0.0281910045894097,"SF",-0.0208875816744253
"338","Braxton Key",3,0.00999143082520682,0.00333047694173561,"SF",-1.00298247857904
"340","Buddy Boeheim",10,-0.0220374434108392,-0.00220374434108392,"SF",-1.01813335947825
"344","Svi Mykhailiuk",32,0.870377715717455,0.0271993036161705,"SF",-0.595986902223746
"353","Lamar Stevens",62,1.25319662095409,0.0202128487250659,"SF",-0.414898937768338
"363","MarJon Beauchamp",52,0.701033632349645,0.0134814160067239,"SF",-0.676093121979762
"374","Tyler Dorsey",3,0.0345657708175102,0.0115219236058367,"SF",-0.991357877113003
"377","Amir Coffey",50,0.465811337399548,0.00931622674799095,"SF",-0.787362252120325
"378","Keegan Murray",80,4.08465125772022,0.0510581407215028,"SF",0.924487256606938
"380","Troy Brown Jr.",76,2.34533160041256,0.0308596263212179,"SF",0.101722623067151
"381","AJ Griffin",72,2.3525882049969,0.0326748361805125,"SF",0.105155274211229
"392","Brandon Boston Jr.",22,0.429698318297607,0.0195317417408003,"SF",-0.804445089540455
"399","Justin Jackson",23,-0.00111787795801602,-4.86033894789574e-05,"SF",-1.00823760596837
"400","Malcolm Hill",4,0.00233338175412387,0.000583345438530967,"SF",-1.00660502829906
"401","Dillon Brooks",73,3.23320264052566,0.0442904471304885,"SF",0.521719538458778
"403","Jabari Walker",55,0.636702669051788,0.011576412164578,"SF",-0.706524124826561
"412","Jae'Sean Tate",31,1.09141296081927,0.0352068697038474,"SF",-0.491428788554705
"413","Jack White",17,0.0382373008607906,0.00224925299181121,"SF",-0.989621103163546
"419","Chima Moneke",2,-0.0123192274113972,-0.00615961370569862,"SF",-1.01353627211029
"424","Justin Champagnie",5,0.031237155598419,0.00624743111968381,"SF",-0.992932439252529
"425","Jordan Schakel",2,0.0104569901424449,0.00522849507122245,"SF",-1.00276225123933
"434","Anthony Lamb",61,1.6660315928251,0.0273119933250016,"SF",-0.219612227291186
"435","Patrick Baldwin Jr.",31,0.30143783618864,0.0097238011673755,"SF",-0.865117196658114
"441","Otto Porter Jr.",8,0.24381704782359,0.0304771309779487,"SF",-0.892374030457618
"442","Jordan Hall",9,0.0497536392986939,0.00552818214429932,"SF",-0.984173435200517
"445","Corey Kispert",74,3.26570265924687,0.0441311170168497,"SF",0.53709328869546
"448","Jarrett Culver",10,0.15417855555836,0.015417855555836,"SF",-0.934776461160794
"459","Ish Wainright",60,0.949645673342465,0.0158274278890411,"SF",-0.55849013052179
"465","Pat Connaughton",61,1.96092367273274,0.0321462897169302,"SF",-0.0801170096987148
"466","Julian Champagnie",15,0.407184145233663,0.0271456096822442,"SF",-0.815095153358558
"473","Josh Minott",14,0.191875011935555,0.0137053579953968,"SF",-0.916944597427971
"478","T.J. Warren",42,1.20736538585271,0.0287467949012549,"SF",-0.436578862556421
