"","GAME_ID","TEAM_ID","TEAM_ABBREVIATION","PLAYER_ID","PLAYER_NAME","MIN","FGM","FGA","FG3M","FG3A","FTM","FTA","PF","PTS","STL","BLK","TO","OREB","DREB","AST","BLKA","PFD","POSS","SCREEN_ASSISTS","DEFLECTIONS","CHARGES_DRAWN","CONTESTED_SHOTS_2PT","CONTESTED_SHOTS_3PT","OFF_BOXOUTS","DEF_BOXOUTS","OFF_LOOSE_BALLS_RECOVERED","DEF_LOOSE_BALLS_RECOVERED","D_FGM","D_FGA","DRIVES","DIST_MILES_OFF","DIST_MILES_DEF","TOUCHES","PASSES_MADE","PASSES_RECEIVED","SECONDARY_AST","POTENTIAL_AST","FT_AST","OREB_CONTEST","OREB_CHANCES","DREB_CONTEST","DREB_CHANCES"
"70",22200003,1610612765,"DET",1630180,"Saddiq Bey",31.3833333333333,2,5,0,2,4,4,2,8,1,0,1,3,3,3,0,2,66,1,2,0,3,2,0,5,1,0,6,9,4,1.2,1.1,52,44,29,0,7,0,1,3,0,5
"71",22200003,1610612765,"DET",202711,"Bojan Bogdanovic",34.8333333333333,8,16,6,10,2,2,3,24,1,0,1,1,4,2,2,5,73,0,0,0,4,0,0,1,0,1,9,13,9,1.4,1.2,64,40,44,1,5,1,0,2,0,5
"72",22200003,1610612765,"DET",1630191,"Isaiah Stewart",26.3,3,6,1,4,7,8,2,14,2,0,0,0,5,3,0,4,58,5,0,0,11,5,1,1,0,0,10,17,0,1,0.9,38,29,23,0,2,0,0,5,2,12
"73",22200003,1610612765,"DET",1630595,"Cade Cunningham",35.1,6,16,2,6,4,4,2,18,1,0,3,0,1,10,0,2,74,0,3,0,4,5,0,0,1,1,6,14,13,1.5,1.2,82,59,75,2,14,3,0,3,1,4
"74",22200003,1610612765,"DET",1631093,"Jaden Ivey",31.7333333333333,8,15,2,4,1,1,3,19,3,0,2,1,2,4,0,5,67,0,4,0,1,1,0,0,1,0,7,9,10,1.3,1.1,54,33,35,0,8,0,0,3,0,2
"75",22200003,1610612765,"DET",1630165,"Killian Hayes",16.1833333333333,1,9,0,3,1,1,1,3,3,1,0,0,5,5,2,2,35,0,5,0,2,0,0,0,0,1,2,9,8,0.7,0.6,41,30,31,0,11,0,0,0,1,6
"76",22200003,1610612765,"DET",1631105,"Jalen Duren",21.7166666666667,7,13,0,0,0,4,0,14,0,3,3,5,5,1,0,3,47,1,0,0,12,3,0,2,0,1,6,14,0,0.8,0.7,38,22,18,0,1,0,4,9,0,7
"77",22200003,1610612765,"DET",1628995,"Kevin Knox II",13.1666666666667,1,8,1,6,0,0,2,3,0,0,2,0,3,0,1,0,29,1,0,0,0,1,0,1,0,0,1,4,1,0.5,0.5,19,9,14,0,1,0,0,1,1,3
"78",22200003,1610612765,"DET",202709,"Cory Joseph",15.1333333333333,3,3,2,2,0,0,3,8,0,0,0,0,1,2,0,1,33,0,0,0,3,2,0,0,0,0,2,6,0,0.6,0.5,23,19,19,1,1,0,0,0,1,3
"79",22200003,1610612765,"DET",1628977,"Hamidou Diallo",14.4666666666667,1,3,0,1,0,0,3,2,0,0,0,2,0,1,0,0,33,0,1,0,0,0,0,1,1,0,1,4,2,0.6,0.5,17,13,10,0,3,0,1,4,0,0
"84",22200004,1610612764,"WAS",1630166,"Deni Avdija",7.66666666666667,1,1,0,0,2,2,0,4,0,0,0,0,0,0,0,1,19,0,0,0,2,1,0,0,0,0,2,7,1,0.3,0.3,7,5,4,0,1,0,0,0,0,0
"85",22200004,1610612764,"WAS",1628398,"Kyle Kuzma",34.5,8,19,3,10,3,5,4,22,0,2,2,1,12,2,2,3,76,0,1,0,4,6,1,2,1,0,3,12,7,1.5,1.2,75,50,45,0,6,1,1,8,5,15
"86",22200004,1610612764,"WAS",204001,"Kristaps Porzingis",31.7666666666667,5,14,1,5,4,6,2,15,0,2,2,2,8,3,0,6,69,4,3,0,8,4,0,5,0,0,5,11,2,1.2,1,56,36,38,2,5,0,2,4,4,13
"87",22200004,1610612764,"WAS",203078,"Bradley Beal",37.5166666666667,9,17,2,7,3,3,2,23,0,1,3,2,3,6,0,2,83,0,1,0,2,4,0,1,1,0,5,13,13,1.6,1.3,74,51,62,0,11,2,1,2,2,6
"88",22200004,1610612764,"WAS",1628420,"Monte Morris",21.3833333333333,2,6,1,1,2,2,1,7,2,0,1,2,4,6,0,1,47,1,3,0,1,3,0,0,1,0,3,7,1,1,0.8,50,41,35,0,8,0,0,3,0,6
"89",22200004,1610612764,"WAS",1629060,"Rui Hachimura",24,3,7,1,1,0,0,2,7,0,1,3,1,4,0,0,1,52,0,0,0,4,3,0,2,0,1,1,9,2,0.9,0.9,26,15,17,0,1,0,1,1,1,6
"90",22200004,1610612764,"WAS",1626153,"Delon Wright",26.6166666666667,3,7,1,3,1,2,4,8,2,2,1,1,2,1,1,3,60,0,3,0,6,4,1,1,0,0,10,19,6,1.2,0.9,52,43,40,0,9,0,1,3,1,5
