,game_id,game_date,home_team_id,away_team_ids,tv
425,0022200426,12/15/2022,1610612762,1610612740,
426,0022200427,12/15/2022,1610612746,1610612756,NBA TV
427,0022200428,12/16/2022,1610612766,1610612737,
428,0022200429,12/16/2022,1610612765,1610612758,
429,0022200430,12/16/2022,1610612738,1610612753,
430,0022200431,12/16/2022,1610612739,1610612754,
431,0022200432,12/16/2022,1610612755,1610612744,ESPN
432,0022200433,12/16/2022,1610612761,1610612751,
433,0022200434,12/16/2022,1610612741,1610612752,
434,0022200435,12/16/2022,1610612760,1610612750,
435,0022200436,12/16/2022,1610612742,1610612757,
436,0022200437,12/16/2022,1610612747,1610612743,ESPN
437,0022200438,12/17/2022,1610612746,1610612764,
438,0022200439,12/17/2022,1610612759,1610612748,NBA TV
439,0022200440,12/17/2022,1610612739,1610612742,
440,0022200441,12/17/2022,1610612745,1610612757,
441,0022200442,12/17/2022,1610612749,1610612762,
442,0022200443,12/17/2022,1610612760,1610612763,
443,0022200444,12/17/2022,1610612756,1610612740,NBA TV
444,0022200445,12/18/2022,1610612738,1610612753,
445,0022200446,12/18/2022,1610612754,1610612752,
446,0022200447,12/18/2022,1610612765,1610612751,
447,0022200448,12/18/2022,1610612761,1610612744,
448,0022200449,12/18/2022,1610612750,1610612741,
449,0022200450,12/18/2022,1610612743,1610612766,
450,0022200451,12/18/2022,1610612747,1610612764,
451,0022200452,12/19/2022,1610612739,1610612762,
452,0022200453,12/19/2022,1610612755,1610612761,
453,0022200454,12/19/2022,1610612737,1610612753,
454,0022200455,12/19/2022,1610612745,1610612759,
455,0022200456,12/19/2022,1610612750,1610612742,
456,0022200457,12/19/2022,1610612740,1610612749,
457,0022200458,12/19/2022,1610612760,1610612757,
458,0022200459,12/19/2022,1610612756,1610612747,NBA TV
459,0022200460,12/19/2022,1610612758,1610612766,
460,0022200461,12/20/2022,1610612765,1610612762,
461,0022200462,12/20/2022,1610612748,1610612741,
462,0022200463,12/20/2022,1610612752,1610612744,TNT
463,0022200464,12/20/2022,1610612756,1610612764,
464,0022200465,12/20/2022,1610612743,1610612763,TNT
465,0022200466,12/21/2022,1610612739,1610612749,
