"","GAME_ID","TEAM_ID","TEAM_ABBREVIATION","PLAYER_ID","PLAYER_NAME","FG2O","FG2X","FG3O","FG3X","FTMO","FTMX","PF","PTS","STL","AORB","ADRB","AST","BLK","TOV","BLKA","PFD","SAST","DEFL","CHGD","AC2P","C3P","OBOX","DBOX","OLBR","DLBR","DFGO","DFGX","DRV","ODIS","DDIS","APM","AST2","FAST","OCRB","AORC","DCRB","ADRC"
"21126",22201004,1610612746,"LAC",1627826,"Ivica Zubac",4,2,0,0,0,0,3,8,0,1,1,0,1,0,0,0,2,1,0,9,2,0,0,0,0,6,8,0,1,0.9,29,0,0,1,3,3,8
"21127",22201004,1610612746,"LAC",202331,"Paul George",8,5,2,6,0,0,1,22,1,0,7,8,1,1,1,2,2,3,0,3,2,0,1,0,0,6,14,8,1.5,1.3,33,2,1,1,0,0,2
"21128",22201004,1610612746,"LAC",201566,"Russell Westbrook",3,3,0,2,1,2,2,7,1,0,4,3,0,3,1,3,0,1,0,0,4,0,0,0,0,5,3,3,0.8,0.8,33,0,0,0,1,1,2
"21129",22201004,1610612746,"LAC",1629611,"Terance Mann",1,3,0,2,0,0,1,2,0,0,1,3,0,1,1,0,1,0,0,2,1,0,0,0,0,3,5,4,0.7,0.7,21,0,0,0,1,0,2
"21130",22201004,1610612746,"LAC",201569,"Eric Gordon",2,2,2,3,0,1,3,10,0,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,6,1,0.7,34,0,0,0,0,0,4
"21131",22201004,1610612746,"LAC",203486,"Mason Plumlee",1,3,0,0,4,1,3,6,0,1,2,1,2,2,0,5,3,0,0,8,1,0,0,2,0,6,10,1,0.8,0.7,21,0,0,1,3,0,4
"21132",22201004,1610612746,"LAC",201587,"Nicolas Batum",1,0,0,3,0,0,1,2,0,1,2,1,0,0,0,0,1,0,0,2,1,0,0,0,0,3,4,0,0.6,0.5,12,0,0,0,2,1,1
"21133",22201004,1610612746,"LAC",1629599,"Amir Coffey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"21134",22201005,1610612762,"UTA",203482,"Kelly Olynyk",5,1,2,1,1,0,2,17,1,0,5,0,0,2,0,2,2,1,0,1,4,0,0,0,0,9,10,7,1.2,1,41,0,0,0,2,1,5
"21135",22201005,1610612762,"UTA",1628374,"Lauri Markkanen",2,11,1,8,6,0,1,13,0,2,5,3,0,1,6,3,2,0,0,5,5,0,0,0,0,5,8,8,1.4,1.2,20,0,0,2,4,4,4
"21136",22201005,1610612762,"UTA",1631117,"Walker Kessler",8,2,0,0,1,1,2,17,0,1,5,1,3,1,0,2,5,0,0,12,0,0,1,0,0,7,11,0,1.4,1.1,19,0,0,7,2,3,9
"21137",22201005,1610612762,"UTA",1630534,"Ochai Agbaji",1,2,2,5,2,0,1,10,1,2,1,1,0,0,1,1,0,2,0,2,5,0,0,0,0,2,8,2,1.4,1.2,27,0,1,0,0,0,2
"21138",22201005,1610612762,"UTA",1629659,"Talen Horton-Tucker",12,7,2,3,7,1,1,37,0,0,6,10,0,3,4,4,0,4,0,0,0,0,0,0,0,11,8,24,1.3,1,47,0,0,1,3,1,3
"21139",22201005,1610612762,"UTA",1631323,"Simone Fontecchio",3,3,1,1,0,0,0,9,1,1,2,0,0,0,0,0,0,0,0,2,1,0,0,0,1,3,3,2,0.6,0.5,11,0,0,1,1,0,2
"21140",22201005,1610612762,"UTA",200752,"Rudy Gay",2,2,0,2,0,0,1,4,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,2,2,1,0.6,0.5,21,0,0,0,0,0,0
"21141",22201005,1610612762,"UTA",1627745,"Damian Jones",0,1,0,0,0,0,4,0,0,0,1,1,0,1,0,0,5,0,0,2,2,0,0,0,0,3,3,0,0.5,0.5,8,0,0,1,3,0,4
