name,22.23_salary
Troy Brown,"$1,968,175 "
Josh Okogie,"$1,968,175 "
Drew Eubanks,"$1,968,175 "
Daniel Gafford,"$1,930,681 "
Terance Mann,"$1,930,681 "
Dean Wade,"$1,930,681 "
Jaylen Nowell,"$1,930,681 "
Naz Reid,"$1,930,681 "
Jalen McDaniels,"$1,930,681 "
Chimezie Metu,"$1,910,860 "
Davon Reed,"$1,902,133 "
KZ Okpala,"$1,902,133 "
Killian Tillie,"$1,901,625 "
Vernon Carey,"$1,882,621 "
Wenyen Gabriel,"$1,878,720 "
Thanasis Antetokounmpo,"$1,878,720 "
Moritz Wagner,"$1,878,720 "
Keita Bates-Diop,"$1,878,720 "
Oshae Brissett,"$1,846,738 "
Isaiah Joe,"$1,836,090 "
Anthony Gill,"$1,836,090 "
Nathan Knight,"$1,836,090 "
Justin Jackson,"$1,836,090 "
Ryan Arcidiacono,"$1,836,090 "
Javonte Green,"$1,815,677 "
Max Strus,"$1,815,677 "
Gabe Vincent,"$1,815,677 "
Herb Jones,"$1,785,000 "
KJ Martin,"$1,782,621 "
Nick Richards,"$1,782,621 "
Lamar Stevens,"$1,782,621 "
Tyrell Terry,"$1,782,621 "
Xavier Tillman,"$1,782,621 "
Naji Marshall,"$1,782,621 "
Paul Reed,"$1,782,621 "
Tre Jones,"$1,782,621 "
Haywood Highsmith,"$1,752,638 "
Omer Yurtseven,"$1,752,638 "
Leandro Bolmaro,"$1,709,300 "
Terry Taylor,"$1,703,902 "
Jared Butler,"$1,674,655 "
Jericho Sims,"$1,639,842 "
Sam Hauser,"$1,637,966 "
Kessler Edwards,"$1,637,966 "
Isaiah Todd,"$1,575,000 "
Vit Krejci,"$1,563,518 "
JT Thor,"$1,563,518 "
Marko Simonovic,"$1,563,518 "
BJ Boston,"$1,563,518 "
Jason Preston,"$1,563,518 "
Aaron Wiggins,"$1,563,518 "
Trendon Watford,"$1,563,518 "
Ayo Dosunmu,"$1,563,518 "
Isaiah Livers,"$1,563,518 "
Daishen Nix,"$1,563,518 "
Austin Reaves,"$1,563,518 "
Jose Alvarado,"$1,563,518 "
Miles McBride,"$1,563,518 "
Jock Landale,"$1,563,518 "
Greg Brown,"$1,563,518 "
Dalano Banton,"$1,563,518 "
Kenneth Lofton,"$1,505,966 "
Christian Koloko,"$1,500,000 "
Bryce McGowens,"$1,461,055 "
Eric Bledsoe,"$1,300,000 "
Jordan Goodwin,"$1,280,206 "
Kennedy Chandler,"$1,200,000 "
Noah Vonleh,"$1,160,955 "
Sandro Mamukelashvili,"$1,116,112 "
Sam Merrill,"$1,105,522 "
Zhaire Smith,"$1,068,200 "
Tyrese Martin,"$1,017,781 "
Jaden Hardy,"$1,017,781 "
Ryan Rollins,"$1,017,781 "
Max Christie,"$1,017,781 "
Josh Minott,"$1,017,781 "
Jabari Walker,"$1,017,781 "
Eugene Omoruyi,"$1,013,119 "
Kris Dunn,"$1,000,001 "
Kyle Singler,"$999,200 "
Ishmail Wainright,"$980,057 "
Admiral Schofield,"$877,940 "
Justin Champagnie,"$853,241 "
Trevelin Queen,"$838,891 "
Moses Brown,"$824,041 "
Matt Ryan,"$806,097 "
DaQuan Jeffries,"$799,403 "
PJ Dozier,"$784,654 "
Cody Zeller,"$743,922 "
Meyers Leonard,"$713,558 "
Nik Stauskas,"$702,311 "
Anthony Lamb,"$694,878 "
Michael Carter-Williams,"$652,829 "
DJ Augustin,"$633,938 "
Duane Washington Jr,"$628,802 "
Carlik Jones,"$612,162 "
Juwan Morgan,"$576,230 "
